customer_id,total_orders,avg_cart_size,avg_num_customizations,avg_total_spend,total_revenue,avg_fulfillment_time,avg_customer_satisfaction,food_order_rate,order_ahead_rate,is_rewards_member,weekend_order_rate,customer_tenure_days,recency_days,order_frequency,drive_thru_rate,in_store_cashier_rate,kiosk_rate,mobile_app_rate,morning_rate,afternoon_rate,evening_rate,favorite_drink_category,cluster,customer_age_group,customer_gender,region,segment_name
CUST_00001,12,3.6666666666666665,2.5,14.55,174.6,5.133333333333334,3.25,0.25,0.25,False,0.4166666666666667,627,40,0.5741626794258373,0.5,0.1666666666666666,0.0833333333333333,0.25,0.4166666666666667,0.5833333333333334,0.0,Brewed Coffee,1,35-44,Male,Midwest,Store-First Value Customers
CUST_00002,13,4.076923076923077,2.076923076923077,15.936923076923078,207.18,4.461538461538462,4.076923076923077,0.4615384615384615,0.3846153846153846,False,0.2307692307692307,593,61,0.657672849915683,0.3076923076923077,0.1538461538461538,0.0,0.5384615384615384,0.2307692307692307,0.3076923076923077,0.4615384615384615,Refresher,0,25-34,Male,Southwest,Digital Convenience Customers
CUST_00003,5,4.2,1.2,15.941999999999998,79.71,4.94,3.4,0.2,0.4,False,0.0,365,83,0.4109589041095891,0.2,0.2,0.0,0.6,0.2,0.6,0.2,Espresso,0,35-44,Female,Midwest,Digital Convenience Customers
CUST_00004,7,3.5714285714285716,2.0,13.69285714285714,95.85,4.742857142857143,4.142857142857143,0.4285714285714285,0.1428571428571428,False,0.2857142857142857,548,145,0.3832116788321168,0.5714285714285714,0.1428571428571428,0.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.1428571428571428,Other,1,45-54,Male,Southwest,Store-First Value Customers
CUST_00005,3,4.666666666666667,1.3333333333333333,15.816666666666668,47.45,4.733333333333333,3.6666666666666665,0.3333333333333333,0.0,False,0.3333333333333333,145,79,0.6206896551724138,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,Espresso,1,25-34,Male,Midwest,Store-First Value Customers
CUST_00007,8,4.375,1.5,16.11,128.88,4.475,3.25,0.25,0.25,False,0.0,648,81,0.3703703703703703,0.5,0.125,0.0,0.375,0.25,0.25,0.5,Espresso,1,18-24,Male,Midwest,Store-First Value Customers
CUST_00008,5,3.6,2.0,13.524,67.62,4.18,2.8,0.0,0.2,False,0.2,346,23,0.4335260115606936,0.2,0.4,0.2,0.2,0.2,0.2,0.6,Espresso,1,35-44,Female,Midwest,Store-First Value Customers
CUST_00009,6,3.8333333333333335,2.6666666666666665,16.618333333333332,99.71,4.916666666666667,4.0,0.3333333333333333,0.5,True,0.3333333333333333,643,76,0.2799377916018662,0.1666666666666666,0.3333333333333333,0.0,0.5,0.5,0.5,0.0,Other,0,25-34,Female,Midwest,Digital Convenience Customers
CUST_00010,7,3.0,0.8571428571428571,12.865714285714288,90.06,4.414285714285714,3.4285714285714284,0.5714285714285714,0.5714285714285714,True,0.4285714285714285,520,94,0.4038461538461538,0.1428571428571428,0.2857142857142857,0.0,0.5714285714285714,0.1428571428571428,0.5714285714285714,0.2857142857142857,Tea,0,45-54,Male,Northeast,Digital Convenience Customers
CUST_00011,8,3.25,1.625,13.05,104.4,3.9375,4.25,0.125,0.25,False,0.125,431,179,0.5568445475638051,0.0,0.5,0.125,0.375,0.5,0.125,0.375,Refresher,1,45-54,Female,Southwest,Store-First Value Customers
CUST_00012,5,4.8,3.0,18.69,93.45,5.220000000000001,3.0,0.4,0.4,False,0.0,374,43,0.4010695187165775,0.4,0.0,0.0,0.6,0.2,0.6,0.2,Tea,0,25-34,Male,Midwest,Digital Convenience Customers
CUST_00013,8,4.25,1.375,15.385,123.08,3.6125,3.25,0.375,0.0,False,0.25,487,174,0.4928131416837782,0.25,0.625,0.0,0.125,0.5,0.375,0.125,Tea,1,55+,Male,Midwest,Store-First Value Customers
